Symbol,Horizon,n,mae,rmse,mape,smape,direction_acc
ACB,1,250,36.27229249805212,57.32389739773986,159.9922610716669,85.67431520258695,44.800000000000004
BCM,1,250,33.57451911830902,42.99795011700086,49.78925979271433,65.7505962741076,47.199999999999996
BID,1,250,9.525926082611084,12.680913650094013,24.958955070283206,30.683440417501373,51.2
CTG,1,250,13.46838731431961,22.897276441100548,47.186598406296504,42.53954485182932,52.400000000000006
DGC,1,250,87.79847507429123,102.95218460568785,93.14948425408062,118.27220917757084,52.0
FPT,1,250,104.19357029104233,124.42178093462888,98.602485852819,123.48074767328443,55.2
GAS,1,250,24.585179302215575,27.360843889034584,39.984050222044246,54.525124557506345,52.800000000000004
GVR,1,250,114.2985578752458,1509.8373819072626,410.87447466500606,56.12234836238641,48.0
HDB,1,250,49.2504803852737,87.06929244071392,240.49268419166418,89.0252337615813,52.0
HPG,1,250,57.972777173012496,177.77760794437285,235.08482301732707,88.86599190792673,51.2
LPB,1,250,9.394193859100342,11.293467137199103,27.557763344762908,30.09608429304561,49.6
MBB,1,250,68.89167049622536,238.9181375506187,319.4093314425388,97.6990085819525,47.599999999999994
MSN,1,250,53.96657467969507,71.62819198270036,72.81844569108306,92.37793450936928,46.400000000000006
MWG,1,250,35.920252891778944,44.91775040058281,51.173432612910666,68.80301266298166,46.800000000000004
PLX,1,250,10.373099261552095,15.817887574152381,29.19239018989795,33.4543679836447,46.800000000000004
SAB,1,250,11.473081008911134,16.41677598004005,24.11972481771216,32.942878167605386,49.6
SHB,1,249,80.2622876911757,129.1028405441512,715.9045119945062,123.91925095876657,52.208835341365464
SSB,1,238,1232.5971756700208,18130.936216928254,6595.285286718831,108.1896205797551,45.79831932773109
SSI,1,250,39.395383339494465,62.27162009519482,167.56191286754913,90.3907697025426,42.8
STB,1,250,14.109568786621093,19.804534837104924,28.216526851678793,37.90020054736353,47.199999999999996
TCB,1,250,28.246803432404995,46.62676289603011,102.6368370815437,69.53165383095482,48.4
TPB,1,250,62.80120924854278,105.40399068945075,441.9988658535265,113.72986051798304,52.0
VCB,1,250,23.48870419692993,27.414370696587046,38.26286588819785,52.57967067666522,54.800000000000004
VHM,1,250,779.2459383484199,9929.247293737038,1273.5628138653576,86.93275606049396,42.4
VIB,1,250,1060.7520362436771,15816.458551868569,6747.093075077399,105.56963154793311,51.2
VIC,1,250,55.45183943676948,84.26910074395785,117.63564265295415,91.36825133498033,51.6
VJC,1,250,23922.75718088022,376008.2002578188,26591.81228900271,127.01603503491003,48.0
VNM,1,250,20.876915451049804,25.017412112876503,35.77132112961821,48.92420151954955,54.0
VPB,1,250,56.68402662575245,88.005021286306,279.442493326931,108.30698364019187,52.0
VRE,1,250,43.89506620161235,77.53061989733908,208.05423611964642,89.69789939579609,50.8
